entity,description,is_india
the g-20,Group of Twenty - international forum for governments and central bank governors,0
pml-n,Political party in Pakistan,0
hoad,Insufficient context to define accurately,0
swat,Special Weapons and Tactics - law enforcement unit,0
"ciis",Insufficient context to define accurately,0
american standard,Global manufacturer of plumbing and building products,0
comex,Commodity Exchange - financial term for commodities trading,0
maruti,Indian automobile manufacturer,1
pantene,Global hair care brand,0
lic mutual fund,Mutual fund managed by Life Insurance Corporation of India,1
stanza living,Indian co-living space provider,1
tunein,Streaming service for radio and podcasts,0
bt,British Telecommunications - telecommunications company,0
corona,General term or context-specific reference to COVID-19 or beverage brand,0
mubi,Streaming service for independent films,0
india infoline finance ba3 corporate family rating,Indian financial services company credit rating,1
shoppers stop,Indian retail chain,1
nissan,Japanese automobile manufacturer,0
indo space,Indian logistics and warehousing company,1
"cnns",Potential reference to CNN - American news network,0
fx,Foreign exchange - financial market term,0
dixon,Indian electronics manufacturing company,1
mlas,Members of Legislative Assembly - Indian political representatives,1
corona rakshak,Insurance product related to COVID-19 - Indian context,1
nda,National Democratic Alliance - Indian political coalition,1
mtar,Indian engineering and manufacturing company,1
oxford-astrazeneca’s covishield,Oxford-AstraZeneca COVID-19 vaccine,0
sumitomo,Japanese multinational corporation,0
l&t finance,Indian financial services company,1
ibps,Institute of Banking Personnel Selection - Indian recruitment agency,1
eesl,Energy Efficiency Services Limited - Indian public sector company,1
reliance jio,Indian telecommunications company,1
reliance pharma fund,Indian pharmaceutical investment fund,1
oil india ltd,Indian state-owned oil and gas company,1
libra,Astrological sign or financial term - context-specific,0
jindal stainless,Indian stainless steel manufacturing company,1
bfsi,Banking Financial Services and Insurance - sector term,1
ryaltris,Pharmaceutical product - context-specific,0
jio gigafiber,Indian broadband service by Reliance Jio,1
vix,Volatility Index - financial term,0
idbi federal life insurance,Indian life insurance company,1
ikea,Swedish multinational furniture and home goods retailer,0
mudra,Indian government scheme for micro-finance,1
"bayers better life farmingcentres",Bayer’s initiative for agricultural development,0
"bps",Business Process Services - general term,0
irs,Internal Revenue Service - US tax authority,0
wipro enterprises,Indian multinational corporation providing IT services,1
hdfc bank,Indian multinational banking and financial services company,1
nissan motor company,Japanese automobile manufacturer (same as Nissan),0
amara raja group,Indian industrial conglomerate,1
punjab national bank,Indian public sector bank,1
vikram,General name or context-specific reference - context needed,0
mclr,Marginal Cost of Funds Based Lending Rate - Indian interest rate benchmark,1
business insight,General term related to business analysis,0
sec,Securities and Exchange Commission - US financial regulatory authority,0
the mi notebook,Xiaomi’s laptop product line,0
ayush,"Indian government department for Ayurveda, Yoga- and Naturopathy, Unani- siddha- and Homeopathy",1
nafta,North American Free Trade Agreement - trade agreement,0
nekkanti,Potential reference to Indian company or context-specific,1
"godrej consumers",Godrej Consumer Products - Indian FMCG company,1
the gujarat cooperative milk marketing federation,Indian dairy cooperative federation,1
iot,Internet of Things - technology term,0
fiem,Indian auto component manufacturing company,1
tata consultancy services,Indian multinational IT services and consulting company,1
ask group,Indian financial services group,1
nichi-iko,Japanese pharmaceutical company,0
"qnbs",Insufficient context to define accurately,0
manappuram finance,Indian financial services company,1
cfr,Cost and Freight - shipping term,0
icici direct,Indian financial services company providing online trading,1
acs,Potential reference to different contexts - needs more information,0
fc,General term or context-specific reference - context needed,0
tanishq,Indian jewelry brand,1
maharashtra’s,General reference to the Indian state of Maharashtra,1
allcargo,Indian logistics and supply chain management company,1
bil,Potential reference to different contexts - needs more information,0
india ratings & research,Indian credit rating agency,1
exchequer,Government's treasury or financial department - general term,0
sri lanka railways,National railway company of Sri Lanka,0
jio.,Likely a reference to Reliance Jio - Indian telecommunications company,1
iffco tokio general insurance,Indian insurance company,1
doordash,American online food delivery service,0
cng,Compressed Natural Gas - energy term,0
provident,General term for retirement or savings plans,0
ac/dc,Rock band or general term for alternating and direct current electricity,0
vodafone-idea,Indian telecommunications company,1
rj corp-owned varun beverages ltd,Indian beverage company owned by RJ Corp,1
sgbs,State Government Bonds - financial term,0
pnb housing finance,Indian housing finance company,1
hvs anarock,Real estate consultancy firm in India,1
deeptech,Advanced technology sectors - general term,0
digicontent limited,Potential reference to digital content company - context-specific,0
jamia millia islamia,Indian public university in Delhi,1
hindustan aeronautics ltd,Indian aerospace and defense company,1
lth,Potential reference to various contexts - needs more information,0
fcy,Potential reference to financial term or company - context needed,0
pmgky,Pradhan Mantri Garib Kalyan Yojana - Indian government welfare scheme,1
fiis,Foreign Institutional Investors - investors from outside the country,1
cbdt,Central Board of Direct Taxes - Indian tax administration body,1
renault india,Indian subsidiary of French automobile manufacturer Renault,1
asian paints,Indian paint company,1
spark’s,General term or context-specific reference - needs more information,0
university of warwick,UK university,0
niti aayog,Indian policy think tank,1
thomson reuters,Global news and information company,0
musk,Reference to Elon Musk - entrepreneur,0
oberoi realty,Indian real estate developer,1
jis,General term or context-specific reference - needs more information,0
the monetary authority of singapore,Singapore’s central bank,0
yellophant digital,Indian digital marketing agency,1
dmk,Dravida Munnetra Kazhagam - Indian political party,1
cpse,Central Public Sector Enterprises - Indian government-owned corporations,1
aatmanirbhar bharat,Indian self-reliance initiative,1
committee,General term or context-specific reference - needs more information,0
ai,Artificial Intelligence - technology term,0
"realmes youtube",Realme’s YouTube channel or content,0
metallurgica bresciana,Italian metallurgy company,0
it,Information Technology - general term,0
